ID,Weight,Length,Width, Price 
1,135 ,900 ,640 , 1.94 
2,170 ,597 ,889 , 2.26 
3,170 ,889 ,635 , 2.40 
4,95 ,787 ,1092 , 1.55 
5,95 ,889 ,1194 , 1.92 
6,115 ,787 ,1092 , 1.88 
7,115 ,889 ,1194 , 2.32 
8,135 ,787 ,1092 , 2.20 
9,135 ,889 ,1194 , 2.72 
10,170 ,787 ,1092 , 2.78 
11,170 ,889 ,1194 , 3.43 
12,215 ,787 ,1092 , 3.51 
13,215 ,889 ,1194 , 4.34 
14,270 ,787 ,1092 , 4.41 
15,270 ,889 ,1194 , 5.45 
16,350 ,787 ,1092 , 5.72 
17,350 ,889 ,1194 , 7.06 
18,115 ,787 ,1092 , 1.68 
19,115 ,889 ,1194 , 2.08 
20,140 ,787 ,1092 , 2.05 
21,140 ,889 ,1194 , 2.53 
22,190 ,787 ,1092 , 2.78 
23,190 ,889 ,1194 , 3.43 
24,250 ,787 ,1092 , 3.65 
25,250 ,889 ,1194 , 4.51 
26,300 ,787 ,1092 , 4.38 
27,300 ,889 ,1194 , 5.41 
28,350 ,787 ,1092 , 5.11 
29,350 ,889 ,1194 , 6.32 
30,130 ,787 ,1092 , 2.35 
31,130 ,889 ,635 , 1.54 
32,130 ,787 ,1092 , 2.35 
33,130 ,889 ,635 , 1.54 
34,180 ,787 ,1092 , 3.25 
35,180 ,889 ,1194 , 4.01 
36,180 ,787 ,1092 , 3.25 
37,180 ,889 ,1194 , 4.01 
38,230 ,787 ,1092 , 4.15 
39,230 ,889 ,1194 , 5.13 
40,230 ,787 ,1092 , 4.15 
41,230 ,889 ,1194 , 5.13 
42,280 ,787 ,1092 , 5.05 
43,280 ,889 ,1194 , 6.24 
44,280 ,787 ,1092 , 5.05 
45,280 ,889 ,1194 , 6.24 
46,130 ,787 ,1092 , 2.35 
47,130 ,889 ,635 , 1.54 
48,130 ,787 ,1092 , 2.35 
49,130 ,889 ,635 , 1.54 
50,180 ,787 ,1092 , 3.25 
51,180 ,889 ,1194 , 4.01 
52,180 ,787 ,1092 , 3.25 
53,180 ,889 ,1194 , 4.01 
54,230 ,787 ,1092 , 4.15 
55,230 ,889 ,1194 , 5.13 
56,230 ,787 ,1092 , 4.15 
57,230 ,889 ,1194 , 5.13 
58,280 ,787 ,1092 , 5.05 
59,280 ,889 ,1194 , 6.24 
60,280 ,787 ,1092 , 5.05 
61,280 ,889 ,1194 , 6.24 
62,125 ,787 ,1092 , 6.85 
63,255 ,787 ,1092 , 9.93 
64,125 ,787 ,1092 , 6.85 
65,255 ,787 ,1092 , 9.93 
66,125 ,787 ,1092 , 6.85 
67,255 ,787 ,1092 , 9.93 
68,125 ,787 ,1092 , 6.85 
69,255 ,787 ,1092 , 9.93 
70,125 ,787 ,1092 , 6.85 
71,255 ,787 ,1092 , 9.93 
72,125 ,787 ,1092 , 6.85 
73,255 ,787 ,1092 , 9.93 
74,125 ,787 ,1092 , 6.85 
75,255 ,787 ,1092 , 9.93 
76,125 ,787 ,1092 , 6.85 
77,255 ,787 ,1092 , 9.93 
78,125 ,787 ,1092 , 4.80 
79,200 ,787 ,1092 , 7.80 
80,270 ,787 ,1092 , 9.80 
81,300 ,787 ,1092 , 11.80 
82,350 ,787 ,1092 , 12.80 
83,120 ,787 ,1092 , 5.60 
84,180 ,787 ,1092 , 7.60 
85,250 ,787 ,1092 , 10.60 
86,280 ,787 ,1092 , 11.60 
87,330 ,787 ,1092 , 13.60 
88,120 ,787 ,1092 , 7.00 
89,180 ,787 ,1092 , 9.00 
90,250 ,787 ,1092 , 12.00 
91,330 ,787 ,1092 , 16.00 
92,120 ,787 ,1092 , 6.60 
93,180 ,787 ,1092 , 8.80 
94,250 ,787 ,1092 , 11.80 
95,280 ,787 ,1092 , 13.80 
96,330 ,787 ,1092 , 15.80 
97,120 ,787 ,1092 , 7.80 
98,180 ,787 ,1092 , 10.80 
99,250 ,787 ,1092 , 13.80 
100,330 ,787 ,1092 , 18.80 
101,120 ,787 ,1092 , 6.60 
102,180 ,787 ,1092 , 8.80 
103,250 ,787 ,1092 , 11.80 
104,280 ,787 ,1092 , 13.80 
105,330 ,787 ,1092 , 15.80 
106,120 ,787 ,1092 , 7.80 
107,180 ,787 ,1092 , 10.80 
108,250 ,787 ,1092 , 13.80 
109,330 ,787 ,1092 , 18.80 
110,120 ,787 ,1092 , 6.60 
111,180 ,787 ,1092 , 8.80 
112,250 ,787 ,1092 , 11.80 
113,280 ,787 ,1092 , 13.80 
114,330 ,787 ,1092 , 15.80 
115,120 ,787 ,1092 , 7.80 
116,180 ,787 ,1092 , 10.80 
117,250 ,787 ,1092 , 13.80 
118,330 ,787 ,1092 , 18.80 
119,120 ,787 ,1092 , 6.60 
120,180 ,787 ,1092 , 8.80 
121,250 ,787 ,1092 , 11.80 
122,280 ,787 ,1092 , 13.80 
123,330 ,787 ,1092 , 15.80 
124,120 ,787 ,1092 , 7.80 
125,180 ,787 ,1092 , 10.80 
126,250 ,787 ,1092 , 13.80 
127,330 ,787 ,1092 , 18.80 
128,120 ,787 ,1092 , 6.30 
129,180 ,787 ,1092 , 9.20 
130,250 ,787 ,1092 , 12.20 
131,330 ,787 ,1092 , 15.90 
132,120 ,787 ,1092 , 6.30 
133,180 ,787 ,1092 , 9.20 
134,250 ,787 ,1092 , 12.20 
135,330 ,787 ,1092 , 15.90 
136,120 ,787 ,1092 , 6.30 
137,180 ,787 ,1092 , 9.20 
138,250 ,787 ,1092 , 12.20 
139,330 ,787 ,1092 , 15.90 
140,120 ,787 ,1092 , 5.80 
141,180 ,787 ,1092 , 8.20 
142,250 ,787 ,1092 , 10.80 
143,350 ,787 ,1092 , 15.60 
144,120 ,787 ,1092 , 5.80 
145,180 ,787 ,1092 , 8.20 
146,250 ,787 ,1092 , 10.80 
147,350 ,787 ,1092 , 15.60 
148,120 ,787 ,1092 , 5.80 
149,180 ,787 ,1092 , 8.20 
150,250 ,787 ,1092 , 10.80 
151,350 ,787 ,1092 , 15.60 
152,120 ,787 ,1092 , 5.80 
153,180 ,787 ,1092 , 8.20 
154,250 ,787 ,1092 , 10.80 
155,350 ,787 ,1092 , 15.60 
156,120 ,787 ,1092 , 5.80 
157,180 ,787 ,1092 , 8.20 
158,250 ,787 ,1092 , 10.80 
159,350 ,787 ,1092 , 15.60 
160,120 ,787 ,1092 , 6.80 
161,180 ,787 ,1092 , 9.80 
162,250 ,787 ,1092 , 13.60 
163,350 ,787 ,1092 , 18.80 
164,120 ,787 ,1092 , 7.90 
165,250 ,787 ,1092 , 13.90 
166,330 ,787 ,1092 , 17.90 
167,120 ,787 ,1092 , 7.90 
168,250 ,787 ,1092 , 13.90 
169,330 ,787 ,1092 , 17.90 
170,120 ,787 ,1092 , 7.90 
171,250 ,787 ,1092 , 13.90 
172,330 ,787 ,1092 , 17.90 
173,120 ,787 ,1092 , 7.90 
174,250 ,787 ,1092 , 13.90 
175,330 ,787 ,1092 , 17.90 
176,120 ,787 ,1092 , 7.90 
177,250 ,787 ,1092 , 13.90 
178,330 ,787 ,1092 , 17.90 
179,120 ,787 ,1092 , 7.90 
180,250 ,787 ,1092 , 13.90 
181,330 ,787 ,1092 , 17.90 
182,120 ,787 ,1092 , 7.90 
183,250 ,787 ,1092 , 13.90 
184,330 ,787 ,1092 , 17.90 
185,120 ,787 ,1092 , 5.60 
186,180 ,787 ,1092 , 7.90 
187,280 ,787 ,1092 , 11.90 
188,120 ,787 ,1092 , 5.60 
189,180 ,787 ,1092 , 7.90 
190,280 ,787 ,1092 , 11.90 
191,120 ,787 ,1092 , 5.60 
192,280 ,787 ,1092 , 11.90 
193,120 ,787 ,1092 , 5.60 
194,280 ,787 ,1092 , 11.90 
195,120 ,787 ,1092 , 5.60 
196,280 ,787 ,1092 , 11.90 
197,120 ,787 ,1092 , 5.60 
198,180 ,787 ,1092 , 7.90 
199,280 ,787 ,1092 , 11.90 
200,120 ,787 ,1092 , 6.50 
201,180 ,787 ,1092 , 9.30 
202,280 ,787 ,1092 , 13.90 
203,120 ,787 ,1092 , 5.60 
204,180 ,787 ,1092 , 7.90 
205,280 ,787 ,1092 , 11.90 
206,120 ,787 ,1092 , 5.60 
207,180 ,787 ,1092 , 7.90 
208,280 ,787 ,1092 , 11.90 
209,120 ,787 ,1092 , 5.60 
210,180 ,787 ,1092 , 7.90 
211,280 ,787 ,1092 , 11.90 
212,120 ,787 ,1092 , 5.60 
213,180 ,787 ,1092 , 7.90 
214,280 ,787 ,1092 , 11.90 
215,120 ,787 ,1092 , 5.90 
216,280 ,787 ,1092 , 12.50 
217,120 ,787 ,1092 , 6.20 
218,180 ,787 ,1092 , 8.80 
219,280 ,787 ,1092 , 13.50 
220,120 ,787 ,1092 , 6.20 
221,280 ,787 ,1092 , 13.50 
222,120 ,787 ,1092 , 5.60 
223,280 ,787 ,1092 , 11.90 
224,120 ,787 ,1092 , 5.60 
225,280 ,787 ,1092 , 11.90 
226,120 ,787 ,1092 , 5.90 
227,280 ,787 ,1092 , 12.50 
228,120 ,787 ,1092 , 6.20 
229,180 ,787 ,1092 , 8.80 
230,280 ,787 ,1092 , 13.50 
231,120 ,787 ,1092 , 5.90 
232,180 ,787 ,1092 , 8.40 
233,280 ,787 ,1092 , 12.50 
234,120 ,787 ,1092 , 6.20 
235,180 ,787 ,1092 , 8.80 
236,280 ,787 ,1092 , 13.50 
237,120 ,787 ,1092 , 6.50 
238,280 ,787 ,1092 , 13.90 
239,120 ,787 ,1092 , 6.50 
240,280 ,787 ,1092 , 13.90 
241,120 ,787 ,1092 , 6.20 
242,180 ,787 ,1092 , 8.80 
243,280 ,787 ,1092 , 13.50 
244,120 ,787 ,1092 , 5.60 
245,280 ,787 ,1092 , 11.90 
246,120 ,787 ,1092 , 5.90 
247,180 ,787 ,1092 , 8.40 
248,280 ,787 ,1092 , 12.50 
249,120 ,787 ,1092 , 5.90 
250,280 ,787 ,1092 , 12.50 
251,120 ,787 ,1092 , 5.60 
252,280 ,787 ,1092 , 11.90 
253,120 ,787 ,1092 , 5.60 
254,280 ,787 ,1092 , 11.90 
255,120 ,787 ,1092 , 6.20 
256,280 ,787 ,1092 , 13.50 
257,120 ,787 ,1092 , 5.60 
258,280 ,787 ,1092 , 11.90 
259,120 ,787 ,1092 , 5.60 
260,280 ,787 ,1092 , 11.90 
261,120 ,787 ,1092 , 5.90 
262,280 ,787 ,1092 , 12.50 
